Street Address,Latitude,Longitude
"1600 Pennsylvania Ave NW, Washington, DC",38.897699700000004,-77.03655315
"350 5th Ave, New York, NY 10118",40.74844205,-73.98565890160751
"1 Microsoft Way, Redmond, WA 98052",47.6411346,-122.12676761148089
"1 Infinite Loop, Cupertino, CA 95014",,
"160 Spear St, San Francisco, CA 94105",,
"221B Baker St, London, UK",,
"10 Downing St, London, UK",,
"405 Lexington Ave, New York, NY 10174",,
"600 Congress Ave, Austin, TX 78701",,
"200 W 41st St, New York, NY 10036",,
